Parameter,Nominal_Value,Norm_Sensitivity
C33_real,115412000000,1
C11_real,138999000000,0.664818362857488
C13_real,74283600000,0.578816506883903
C44_real,25641000000,0.308927064832519
e33_real,15.08,0.279347927217351
eps33_real,663.2,0.158123728042251
e15_real,12.718,0.118985624078061
e31_real,-5.2,0.0830530684552823
eps11_real,762.5,0.0652823950531849
C12_real,77836600000,0.000189408779263467
